Tên dược liệu,Link ảnh,Link chi tiết,Mô tả cây,Sinh thái,Phân bố,Bộ phận dùng,Công dụng
Chanh trường,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/chanh-truong-4-360x360.jpg,https://tracuuduoclieu.vn/chanh-truong.html,"Cây nhỏ, cao 0,5-1m. Thân hơi dẹt, đôi khi hóa gỗ ở gốc, nhẵn bóng.Lá mọc so le, hình mác hoặc hình quả trám, gốc có phiến kéo dài đến tận cuống, đầu thuôn nhọn, mép nguyên, uốn lượn, hai mặt nhẵn; cuống lá dài 2-3cm.Cụm hoa mọc ở kẽ lá thành chùm; hoa nhỏ màu trắng; đài hình chuông hoặc hình đấu, có 5 răng xẻ đến phần giữa ống, tràng 5 cánh nhọn, nhẵn; nhị 5, mở bằng đường nứt ngang.Quả mọng, hình cầu, nhẵn bóng, khi chín màu vàng nhạt, hạt nhiều, có góc.Mùa ra hoa: tháng 7-9. Mùa quả: tháng 10-2.","Chanh trường là cây thân thảo, thường mọc trên đất ẩm ở bờ rào vườn, trên các bãi hoang quanh làng, ven đường đi hoặc nương rẫy.
Chanh trường có nguồn gốc ở châu Mỹ, phân bố rộng rãi ở 1 số vùng cận nhiệt đới hoặc nhiệt đới châu Á bao gồm Trung Quốc, Ấn Độ, Lào và Việt Nam…Ở Việt Nam, chanh trường thường gặp ở các tỉnh miền núi phía Bắc như Cao Bằng, Lạng Sơn, Tuyên Quang, Thái Nguyên, Hà Giang,…","Chanh trường là cây thân thảo, thường mọc trên đất ẩm ở bờ rào vườn, trên các bãi hoang quanh làng, ven đường đi hoặc nương rẫy.
Chanh trường có nguồn gốc ở châu Mỹ, phân bố rộng rãi ở 1 số vùng cận nhiệt đới hoặc nhiệt đới châu Á bao gồm Trung Quốc, Ấn Độ, Lào và Việt Nam…Ở Việt Nam, chanh trường thường gặp ở các tỉnh miền núi phía Bắc như Cao Bằng, Lạng Sơn, Tuyên Quang, Thái Nguyên, Hà Giang,…","Lá và rễ thu hái quanh năm, dùng tươi hay sấy khô","Nhân dân thường dùng lá chanh trường chữa đau bụng, chướng bụng, phù thũng. Ngày dùng 6-12g lá khô dưới dạng thuốc sắc. Rễ được dùng chữa kinh nguyệt không đều với liều 10-12g/ngày, sắc nước uống.
Chanh trường ăn được, dùng làm gia vị."
Sương sáo,https://tracuuduoclieu.vn/wp-content/uploads/2022/02/xuong-sao-3-360x360.jpg,https://tracuuduoclieu.vn/suong-sao.html,,"Loài của Nam Trung Quốc. Ta có trồng ở một số nơi, như Bảo Lộc (LâmĐồng), Sa Đéc (Đồng Tháp), Châu Đốc (An Giang)… Thu hái cây toàn năm nhưng chủ yếu vào mùa xuân hè, rửa sạch, cắt đoạn, phơi khô để dùng dần.","Loài của Nam Trung Quốc. Ta có trồng ở một số nơi, như Bảo Lộc (LâmĐồng), Sa Đéc (Đồng Tháp), Châu Đốc (An Giang)… Thu hái cây toàn năm nhưng chủ yếu vào mùa xuân hè, rửa sạch, cắt đoạn, phơi khô để dùng dần.",Phần cây trên mặt đất – Herba Mesonae Chinenesis. Ở Trung Quốc thường gọi là Lương phấn thảo.,"Ở những nơi trồng, người ta dùng thân và lá Sương sán nấu thạch đen ăn cho mát.
Xay cây lá thành bột, thêm nước vào nấu kỹ, lọc lấy nước, thêm ít bột sắn hay bột gạo vào nấu cho sôi lại, để nguội làm thạch mềm màu đen, để cho mau đông, người ta thêm nước tro hoặc hàn the. Khi ăn thạch, thái miếng nhỏ cho vào chén, thêm nước đường, tinh dầu thơm, dùng ăn như các loại thạch khác.
Còn được dùng làm thuốc chữa: 1. Cảm mạo do nắng; 2. Huyết áp cao; 3. Đau cơ và các khớp xương; 4. Đái đường; 5. Viêm gan cấp. Liều dùng 30-60g, dạng thuốc sắc.
Đơn thuốc:
Đái đường: Sương sáo 30g, Biển súc (Rau đắng) 30g, Rung rúc 45g. Đun sôi lấy nước uống ngày một lần.
Nguồn: Từ điển cây thuốc Việt Nam"
Bản xé thơm,https://tracuuduoclieu.vn/wp-content/uploads/2022/01/ban-xe-thom-5-360x333.jpg,https://tracuuduoclieu.vn/ban-xe-thom.html,,"Phân bố: Lai Châu, Sơn La, Phú Thọ, Hà Nội, Ninh Bình, Bình Định, Kon Tum, Gia Lai, Đắk Lắk, Lâm Đồng, Bình Dương, Tây Ninh, Đồng Nai, An Giang. Còn có ở Ấn Độ, Trung Quốc, Lào, Thái Lan, Xri Lanca.
Sinh thái: Thường gặp trong rừng thường xanh núi cao, trong rừng khô rụng lá từ vùng thấp cho đến độ cao 1500m. Cây ưa sáng, chịu hạn kém. Tái sinh bằng hạt tốt nơi có tàn che thưa.
Bộ phận dùng:
Quả, vỏ rễ . Fructus et Cortex Radi-cis Albiziae Odoratissimae.","Phân bố: Lai Châu, Sơn La, Phú Thọ, Hà Nội, Ninh Bình, Bình Định, Kon Tum, Gia Lai, Đắk Lắk, Lâm Đồng, Bình Dương, Tây Ninh, Đồng Nai, An Giang. Còn có ở Ấn Độ, Trung Quốc, Lào, Thái Lan, Xri Lanca.
Sinh thái: Thường gặp trong rừng thường xanh núi cao, trong rừng khô rụng lá từ vùng thấp cho đến độ cao 1500m. Cây ưa sáng, chịu hạn kém. Tái sinh bằng hạt tốt nơi có tàn che thưa.
Bộ phận dùng:
Quả, vỏ rễ . Fructus et Cortex Radi-cis Albiziae Odoratissimae.",,"Ở Lào, người ta dùng vỏ khô làm bột đắp lên vết thương.Ở Ấn Độ, vỏ dùng đắp ngoài có hiệu quả trong bệnh phong hủi và loét ngoan cố. Lá được dùng sắc với bơ lỏng dùng chữa ho,Ở Vân Nam (Trung Quốc), vỏ cây dùng trị viêm khớp do phong thấp, đòn ngã tổn thương, vết thương hở xuất huyết và lở ghẻ."
Bại tượng hoa trắng,https://tracuuduoclieu.vn/wp-content/uploads/2021/12/bai-tuong-hoa-trang-1-360x333.jpg,https://tracuuduoclieu.vn/bai-tuong-hoa-trang.html,,"Cây mọc rải rác trên các trảng cỏ.
Phân bố: Cao Bằng, Lạng Sơn. Còn có ở Trung Quốc, Triều Tiên, Nhật Bản…
Bộ phận dùng:
Toàn cây – Herba Patriniae, gọi là Bại tượng thảoThu hái vào mùa hạ trước khi có hoa nở, rửa sạch thái nhỏ phơi trong râm.","Cây mọc rải rác trên các trảng cỏ.
Phân bố: Cao Bằng, Lạng Sơn. Còn có ở Trung Quốc, Triều Tiên, Nhật Bản…
Bộ phận dùng:
Toàn cây – Herba Patriniae, gọi là Bại tượng thảoThu hái vào mùa hạ trước khi có hoa nở, rửa sạch thái nhỏ phơi trong râm.",,"Thường dùng trị: Viêm ruột thừa, kiết lỵ, viêm dạ dày ruột, viêm gan, viêm kết mạc, sản hậu huyết ứ đau bụng, mụn nhọt, ghẻ ngứa."
A kê,https://tracuuduoclieu.vn/wp-content/uploads/2021/12/a-ke-2-360x360.jpg,https://tracuuduoclieu.vn/a-ke.html,,,"A kê có nguồn gốc ở các khu rừng tây phi. Chúng phát triển tốt nhất ở những nơi có lượng mưa lớn. Tuy nhiên chúng phát triển tốt nhất ở những nơi có lượng mưa trung bình.
Ake được nhập trồng làm cây cảnh, trồng ở Đồng Nai ( A kê Trung Phi )",,"Ở Châu Phi cận Sahara và các khu vực khác nhau trên thế giới( Caribe, Bắc và Nam Mỹ, Châu Âu).Theo truyền thống nó được sử dụng để điều trị nhiều chứng bệnh như đau lưng, táo bón,ung thư,sốt rét ở trẻ nhỏ, bệnh lậu, bệnh kiết lỵ, rối loạn tinh thần, thoát vị, đau dạ dày, sốt rét, thấp khớp, thương hàn,..Nó còn được sử dụng làm mỹ phẩm và nguồn dược liệu.
Ở Châu Âu, A Kê được cho là một thức ăn giúp làm ngon miệng, khi đem nấu chín trong bơ hoặc nấu với cá biển
Bên cạnh đó, áo hạt cứng, có dầu và có mùi vị như hạt dẻ dùng ăn được.
Ở Việt Nam, A kê cũng được sử dụng khá rộng rãi
Lá (và vỏ)  sắc nước uống lợi tiêu hoá, cũng dùng chữa cảm lạnh và chảy mủ. Nhiều bộ phận khác của cây được xem như làm giảm đau, chống độc, chống nôn, cũng là chất độc và kích thíchHạt / lá cũng được sử dụng làm chất xua đuổi côn trùng và lá đã được báo cáo là có tác dụng gây chết đối với ấu trùng của nhiều loài muỗi khác nhau.
Lưu ý: Hypoglycin A và hypoglycin B  được tìm thấy trong phần vỏ chưa chín của A kê và việc tiêu thụ sẽ dẫn đến hạ đường huyết, nôn mửa, rối loạn quá trình tạo gluconeogenes có thể dẫn đến hôn mê và tử vong. Không được ăn quả A kê xanh"
Áo cộc,https://tracuuduoclieu.vn/wp-content/uploads/2021/12/ao-coc-5-360x345.jpg,https://tracuuduoclieu.vn/ao-coc.html,,"Cây phân bố ở các tỉnh: Lào Cai, Sơn La. Còn có ở Trung Quốc.
Thường mọc rải rác trong rừng rậm nhiệt đời thường xanh mưa ẩm, ở thung lũng, khe nước hay chân núi. Tái sinh bằng hạt và chổi.","Cây phân bố ở các tỉnh: Lào Cai, Sơn La. Còn có ở Trung Quốc.
Thường mọc rải rác trong rừng rậm nhiệt đời thường xanh mưa ẩm, ở thung lũng, khe nước hay chân núi. Tái sinh bằng hạt và chổi.",Rễ và vỏ cây – Radix et Cortex Liriodendronis.,"Ở Vân Nam (Trung Quốc), rễ dùng trị phong thấp tế đau khớp xương. Vỏ dùng trị bệnh do thủy thấp phong hàn dẫn tới họ, khí cấp, miệng khát, tứ chi yếu mỏi.
Đơn thuốc:
Áo cộc 40g vỏ khô, gia Nguyên tuy, Sơn du ma (Âm hành thảo), mỗi vị đều 24g, gừng già 1,2g, cam thảo 12g.Nấu nước, thêm đường đỏ, sáng sớm uống trước bữa ăn.Ngày 1 thang."
Anh đào,https://tracuuduoclieu.vn/wp-content/uploads/2021/12/anh-dao-1-360x332.jpg,https://tracuuduoclieu.vn/anh-dao.html,,"Sinh thái: Mọc rải rác trong rừng thưa, rừng thường xanh, ở độ cao 100-1800m.
Phân bố: Lai Châu, Lào Cai, Hà Giang, Cao Bằng, Hòa Bình, Ninh Bình, Lâm Đồng. Cây được trồng nhiều nhất ở thành phố Đà Lạt. Còn có ở Nepan, Mianma, Trung Quốc, Lào, Thái Lan.
Bộ phận dùng:
Nhân hạt – Semen Pruni.","Sinh thái: Mọc rải rác trong rừng thưa, rừng thường xanh, ở độ cao 100-1800m.
Phân bố: Lai Châu, Lào Cai, Hà Giang, Cao Bằng, Hòa Bình, Ninh Bình, Lâm Đồng. Cây được trồng nhiều nhất ở thành phố Đà Lạt. Còn có ở Nepan, Mianma, Trung Quốc, Lào, Thái Lan.
Bộ phận dùng:
Nhân hạt – Semen Pruni.","Sinh thái: Mọc rải rác trong rừng thưa, rừng thường xanh, ở độ cao 100-1800m.
Phân bố: Lai Châu, Lào Cai, Hà Giang, Cao Bằng, Hòa Bình, Ninh Bình, Lâm Đồng. Cây được trồng nhiều nhất ở thành phố Đà Lạt. Còn có ở Nepan, Mianma, Trung Quốc, Lào, Thái Lan.
Bộ phận dùng:
Nhân hạt – Semen Pruni.","Quả có vỏ quả khá dày, thịt đỏ, mọng nước, ngọt, mùi dễ chịu, có thể ăn được và chế rượu uống, người ta đã chế ra loại rượu Anh đào của Đà lạt.
Ở Ấn Độ, các cành nhỏ được dùng làm nguyên liệu thay thế acid hydroyanic, nhân hạt được dùng là thuốc trị sỏi và sỏi thận.
Ghi chú:
Lá, hạch và quả cây Anh đào – Prunus pseudocerasus Lindl., có quả ăn được, nhân hạt được dùng làm thuốc.Lá giải độc thâu chẩn, hạch quả thanh nhiệt thấu chẩn, quả ích khí khư phong thấp."
Anh thảo,https://tracuuduoclieu.vn/wp-content/uploads/2020/10/anh-thao-1-360x360.jpg,https://tracuuduoclieu.vn/anh-thao.html,,"Hoa anh thảo (Oenothera biennis) là một loài cây dễ mọc trong môi trường bị xáo trộn và được xem như một loại cỏ dại. Cây đã được du nhập và thích nghi trên tất cả các châu lục, ngoại trừ châu Nam Cực.
Nguồn thức ăn:Hạt của hoa anh thảo là thức ăn quan trọng cho nhiều loài chim, như chim American goldfinch, Northern bobwhite, và mourning dove.Môi trường sống:Cây là vật chủ cho ấu trùng của loài bướm đêm primrose (Schinia florida) và sâu bướm trắng sọc (white-lined sphinx moth). Các loài ong vò vẽ và ong mật cũng thường ghé thăm hoa để lấy mật.Bướm đêm primrose:Loài này đẻ trứng trực tiếp trên hoa anh thảo. Khi trứng nở, ấu trùng sử dụng cây làm nguồn thức ăn chính.
Hạt của loài cây này có khả năng tồn tại lâu dài trong đất, lên đến hơn70 năm, giúp chúng dễ dàng tái sinh và duy trì quần thể trong tự nhiên.","Có khoảng 145 loài trong chi Oenothera L., xuất hiện ở vùng khí hậu ôn đới và nhiệt đới ở miền Bắc và Nam Mỹ. Có khoảng 70 loài hiện đang có mặt ở châu Âu.
Loài chiếm số lượng nhiều nhất trong họ Oenothera L. làOenothera biennisL.. Đây cũng là loài được nghiên cứu nhiều nhất về các tác dụng sinh học. Anh thảo đã được thấy có lợi trong điều trị nhiều bệnh.
Oenothera biennisL.được trồng đầu tiên bởi các thổ dân ở Bắc Mỹ. Họ đã sử dụng cây để điều trị các triệu chứng sưng trong cơ thể và các vấn đề sức khỏe khác. Dầu các loài Oenothera đã được người Ấn Độ sử dụng để làm giảm các rối loạn về da.
Năm 1614, các nhà thực vật học từ Virginia đã mang đến châu Âu để nghiên cứu.Oenothera được giới thiệu ở châu Âu với cái tên ‘king’s cure-all” (vua chữa bách bệnh).Các sách y văn thảo dược cổ đã mô tả Hoa anh thảo có tác dụng làm se và an thần, hữu ích trong điều trị rối loạn tiêu hóa, rối loạn ho, hen suyễn, các khó chịu trên nữ giới và chữa lành vết thương.Năm 1919, một acid linolenic mới đã được tìm thấy bởi Heiduschka và Lüft khi họ phân tích dầu hạt; họ đặt tên là acid gamma-linolenic (GLA).
CâyOenothera biennisL.(anh thảo) ưa nắng, và những nơi khô cằn với đất mùn và xuất hiện ở độ cao dưới 700 mét so với mực nước biển.",,"Ngày nay, hoa anh thảo chủ yếu được biết đến với công dụng làm cảnh, thực phẩm và làm thuốc."
Sâm tố nữ,https://tracuuduoclieu.vn/wp-content/uploads/2019/02/sam-to-nu-360x250.jpg,https://tracuuduoclieu.vn/sam-to-nu.html,"Sắn dây củ tròn là loài dây leo, sống lâu năm, có thể dài tới 10 m. Rễ phát triển thành củ tròn, to. Lá kép, mọc so le gồm 3 lá chét nguyên hoặc xẻ thùy. Cụm hoa hình chùm mọc so le gồm 3 lá chét nguyên hoặc xẻ thùy, mọc ở kẽ lá gồm nhiều loại hoa màu xanh tím, thơm. Quả giáp dẹt màu vàng nhạt, có lông mềm, thắt lại giữa các hạt.",,"Sâm tố nữlần đầu tiên được tìm thấy ở phía Bắc Thái Lan, Myanmar cách đây 800 năm. Hiện nay, loài cây này phân bố chủ yếu trong các khu rừng rụng lá ở vùng Đông Bắc và Tây Bắc Thái Lan, Myanma, Ấn Độ. Kể từ khi được phát hiện cho đến nay, Sâm tố nữ vẫn được sử dụng phổ biến ở Thái Lan như một phương thuốc bí truyền giúp cải lão hoàn đồng với tác dụng làm đẹp da, đen tóc, tăng tuần hoàn máu, cải thiện trí nhớ và duy trì sinh lí cho phụ nữ.
Tại Việt Nam, năm 2011, trong một chuyến điều tra khảo sát nguồn tài nguyên cây thuốc tại Bản Cá – Sơn La, Cử nhân Ngô Văn Trại – Nguyên cán bộ Viện Dược Liệu Trung Ương đã tình cờ phát hiện thấy sự có mặt của Sâm tố nữ trong khu vực sinh sống của người dân tộc Thái trắng. Qua điều tra thăm hỏi, được biết những người phụ nữ Thái sinh sống tại đây thường xuyên dùng củ Sâm tố nữ này đắp mặt, sắc lấy nước uống để giúp tóc dài mềm mại, da dẻ mịn màng, eo thon và tăng khả năng sinh đẻ. Trong suốt quá trình nghiên cứu, các nhà khoa học Việt Nam còn phát hiện ra giống Sâm này phân bố ở các tỉnh phía Tây Bắc Việt Nam như Sơn La, Yên Bái, Tuyên Quang và một số huyện miền núi của Thanh Hóa và Nghệ An. Tuy nhiên, do phần củ làm thuốc, vì vậy sau khi khai thác thì cây không còn khả năng tái sinh. Cùng với nhu cầu sử dụng gia tăng ngày một lớn, hiện nay loài cây này trở nên rất quý hiếm và hiếm gặp ở Việt Nam.
Đứng trước thực trạng báo động này, bắt đầu từ cuối năm 2017, công ty TNHH Tuệ Linh đã đầu tư nghiên cứu và phát triển hàng chục hecta các vùng trồng Sâm tố nữ theo tiêu chuẩn GACP-WHO tại vùng Tây Bắc Việt Nam.

Hình 2: Vùng trồng Sâm tố nữ sạch, theo tiêu chuẩn GACP-WHO của công ty TNHH Tuệ Linh",Rễ củ,"Theo kinh nghiệm dân gian, Sâm tố nữ thường dùng với liều 5mg/kg/ngày vào buổi tối để chống nếp nhăn, làm đen tóc và kích thích mọc tóc, giảm đục thủy tinh thể, hỗ trợ điều trị mất trí nhớ, tăng cường thể lực, tăng dẻo dai, tăng tuần hoàn máu và điều trị rối loạn giấc ngủ.
Gần đây, Sâm tố nữ còn được dùng để giảm các triệu chứng liên quan đến tuổi và thiếu hụt oestrogen như ngực chảy xệ, da nhăn, loãng xương và tóc bạc do có chứa các thành phần tác dụng tương tự như oestrogen.Xem thêm:Lợi ích của Pueraria mirifica (Sâm tố nữ) ; Thảo dược giúp giảm các triệu chứng mãn kinh"
Giảo cổ lam,https://tracuuduoclieu.vn/wp-content/uploads/2019/02/giao-co-lam-1-360x256.jpg,https://tracuuduoclieu.vn/giao-co-lam.html,"Giảo cổ lamlà cây thảo mọc leo, sống hằng năm. Thân mảnh, hơi có rãnh, nhẵn. Tua cuốn chẻ đôi ở đầu.Lá kép mọc so le, gồm 3-7 lá chét hình bầu dục-thuôn hoặc mũi mác, dài 3-9cm, rộng 1,5-3cm, gốc thuôn hẹp, đầu nhọn, mép khía răng, hai mặt có lông, ít khi nhẵn, mặt trên sẫm bóng, mặt dưới rất nhạt, có cuống dài 3-7cm.Hoa đơn tính khác gốc, mọc ở kẽ lá và đầu ngọn thành chùy buông chõng có thể dài đến 30cm (ở cụm hoa cái ngắn hơn); hoa nhỏ, hình sao, bao hoa rất ngắn, to hơn hoa cái; lá đài hình tam giác nhọn; cánh hoa hình mác rời nhau; nhị 5,bao phấn dính nhau; bầu có 3 vòi nhụy.Quả mọng, nạc, hình cầu, đường kính 5-9mm, nhẵn, khi chín màu đen, hạt 2-3, gần hình ba cạnh, hơi dẹt, đường kính 4mm.Mùa hoa: tháng 7-8, mùa quả tháng 9-10.",,"Loài cây này mọc nhiều ở độ cao trên dưới 2000m so với mặt nước biển, trong các khu rừng thưa, ẩm thấp, khí hậu lạnh quanh năm bao gồm: Nhật Bản, Bắc Triều Tiên, Nam Trung Quốc, các tỉnh vùng núi phía Bắc của Việt Nam.
Riêng tại Việt Nam, khi tiến hành cuộc khảo sát dược liệu tại Fansipan, các nhà khoa học Việt Nam đã phát hiện một quần thể rộng lớn cây Giảo cổ lam mọc hoang ở độ cao 1500m thuộc dãy Hoàng Liên Sơn.
Theo thông tin thu thập được, người dân nơi đây đã dùng cây này từ nhiều đời nay nhằm tăng lực, chống mệt mỏi khi đi rừng, tăng cường sức khỏe. Mẫu cây này sau đó được gửi đến Viện Dược liệu Trung ương và đến các phòng nghiên cứu thực vật lớn trên thế giới và xác định đúng là cây Gynostemma pentaphyllum. Qua nghiên cứu cho thấy, giảo cổ lam Việt Nam có chất lượng tương đương với giảo cổ lam của Nhật Bản và Trung Quốc.
Đặc biệt, tại Việt Nam có công ty TNHH Tuệ Linh đã phát triển thành công 1 vùng trồngGiảo cổ lam 5 láquý hiếm (Ngũ diệp sâm) rộng 5 ha đạt chuẩn thực hành tốt trồng trọt và thu hái của Tổ chức Y tế thế giới (GACP – WHO) tại Mộc Châu. Được biết, đây chính là giảo cổ lam mà các quốc gia như Nhật Bản, Trung Quốc đặc biệt ưa chuộng. Kể từ khi phát hiện ra Giảo cổ lam vào năm 1997, GS.TS Phạm Thanh Kỳ (Thầy thuốc nhân dân, nguyên hiệu trưởng ĐH Dược Hà Nội) đã đăng ký đề tài nghiên cứu khoa học cấp Nhà nước.
Cho đến nay, GS.TS Phạm Thanh Kỳ cùng với các nhà khoa học Viện dược liệu, Bộ môn Dược lý Trường đại học Y Hà Nội và công ty TNHH Tuệ Linh đã phối hợp nghiên cứu làm rõ tác dụng hạ đường huyết, mỡ máu và huyết áp của cây thuốc quý này. Để mua đúng loại giảo cổ lam 5 lá này, các bạn có thể liên hệ với công ty TNHH theo số hotline của công ty là 18001190.

Hình 2: Vùng trồng Giảo cổ lam 5 lá (Ngũ diệp sâm) lớn nhất Việt Nam đạt chuẩn GACP-WHO tại Mộc Châu",Toàn cây,"Giảo cổ lam là một trong những cây dược liệu cổ quý hiếm được biết đến với rất nhiều tác dụng trong y học. Dược liệu này đã được sử dụng từ rất lâu đời ở các nước như Nhật Bản, Ấn Độ, Indonesia, Triều Tiên, đặc biệt là Trung Quốc.
Ở Trung Quốc, Giảo cổ lam đã được các vua chúa Trung Quốc sử dụng từ xa xưa để tăng cường sức khỏe, kéo dài tuổi thọ và làm đẹp. Cây này được hoàng đế Tần Thủy Hoàng ưa dùng với mong muốn trường sinh bất lão, do vậy giảo cổ lam còn được gọi là cỏ trường thọ.
Ở Nhật Bản, năm 1976, các nhà khoa học tình cờ phát hiện ra Giảo cổ lam khi nghiên cứu một bộ lạc sống trên vùng núi cao có tuổi thọ bình quân xấp xỉ 100 tuổi. Nguyên nhân là do người dân nơi đây đã dùng giảo cổ lam, chế biến thành trà uống hàng ngày, để tăng cường sức khỏe. Người dân Nhật Bản gọi giảo cổ lam với cái tên Phúc Âm Thảo.
Giảo cổ lam đã được ghi trong sách cổ “Nông chính toàn thư hạch chú”, quyển Hạ năm 1694 và trong cuốn “Từ điển cây thuốc Việt Nam” với những công dụng sau:
Ba chống: Chống u, chống lão hóa, chống mệt mỏiBa giảm: Giảm béo, giảm căng thẳng, giảm nám sạm daNăm tốt: Ăn ngủ tốt, tiêu hóa tốt, da dẻ tốt, sức khỏe tốt và giúp tỉnh táo.
Ngày nay, trải qua nhiều năm nghiên cứu, các nhà khoa học đã chứng minh được công dụng của giảo cổ lam với sức khỏe con người."
Thảo quả,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thao-qua-duoc-lieu-tue-linh2.jpg,https://tracuuduoclieu.vn/thao-qua.html,"Thảo quả
Thảo quả là một loại cỏ sống lâu năm, cao chừng 2,5-3m. Có thân, lá, hoa và quả được mô tả cụ thể như sau:
Thân rễ mọc ngang, to thô, có đốt, đường kính chừng 2,5-4cm, giữa có màu trắng nhạt, phía ngoài có màu hồng thơm, mẫm, rất chóng thành xơ.Lá mọc so le, có lá có cuống ngắn, có lá không có cuống, bẹ lá có khía dọc, phiến lá dài 0,60-0,70m, rộng tới 0,20m, nhẵn, mặt trên có màu xanh sẫm, mặt dưới hơi mờ, mép nguyên.Cụm hoa thành bông mọc từ gốc, dài chừng 13-20cm, hoa màu đỏ nhạt.Quả từ 8 đến 17 trên mỗi bông, khi chín có màu đỏ nâu dài khoảng 3-4cm, đường kính 2-3cm, khi còn tươi mặt bóng nhẵn, vỏ ngoài dày 5mm. Trong quả chia thành 3 ngăn, mỗi ngăn có chừng 7 hạt có áo hạt hình tháp ép vào nhau, rất thơm.",,"Thu hái Thảo quả
Phân bố
Thảo quả được trồng và mọc hoang ở những vùng khí hậu mát miền Bắc Việt Nam, chủ yếu tại Lào Cai, Cao Bằng, Hà Giang, Tuyên Quang, Lai Châu. còn thấy ở một số tỉnh Hoa Nam Trung Quốc (Quảng Tây, Vân Nam).
Cây thảo quả được đưa vào trồng ở Việt Nam vào khoảng năm 1890, từ các tỉnh biên giới Việt-Trung. Người ta trồng thành rừng rộng, ở độ cao 1000-1.500m,diện tích hiện nay khoảng 700—800ha.
Thu hái
Thu hoạch vào các tháng 10-12, khả năng ước lượng khoảng 500 tấn mỗi năm.
Chế biến
Cách chế biến sau khi thu hái thảo quả với lượng lớn thông thường được làm như sau:
Khi hái về người ta phơi trên phên thua và sấy lửa nhẹ luôn 3 hay 4 ngày đêm cho đến khi khô.Khi quả thảo quả khô, màu sẽ ngả xám mâu nhạt, nhiều nát nhăn dọc và thường được phủ một lớp phấn trắng, mỗi quả cân nặng chừng 4g.Khi sấy không nên để lửa quá già, vỏ có thể bị cháy sém mà trong ruột hạt chưa thật khô, dễ bị vụn. Sau đó đóng bao,mỗi bao 50 đến 100kg. Để nơi khô ráo.Khi nào dùng mới bóc vỏ ngoài lấy hạt, nếu bóc lấy hạt ngay sẽ chóng mất mùi thơm.
Các phương pháp chế biến thảo quả khác:
Vì sấy thảo quả dễ bị cháy phần vỏ trong khi ruột hạt chưa đủ độ chín thơm nên thường người ta có các phương pháp nướng, rang, sao thảo quả sao cho chín bên trong mà không bị cháy lớp vỏ ngoài. Cụ thể có các cách như sau:
Thảo quả nướng ủ tro nóng: Đem quả Thảo quả còn cả vỏ nướng vào tro nóng đến khi có mùi thơm thì lấy ra bóc bỏ vỏ ngoài.Thảo quả nướng bọc bột mỳ: Cũng có thể dùng bột mỳ nhão, làm áo bọc ngoài quả rồi mới nướng, đến khi áo bột đen đi thì lấy ra bóc bỏ vỏ.Thảo quả sao cát: Đem cát rang nóng già; cho nhân Thảo quả vào sao đến khi có màu vàng hơi đen. Rây bỏ cát.Thảo quả sao cám: Tương tự với sao cát. Đem Thảo quả (10kg) cùng cám (1kg) sao nhỏ lửa đến khi có màu vàng. Rây bỏ cám.Thảo quả trích gừng: Trước tiên giã 2kg gừng tươi, vắt lấy nước cốt, tẩm đều vào Thảo quả, để hút hết nước. Sao đến khi khô cho mùi thơm.",,"Công dụng Thảo quả
Thảo quả là một vị thuốc, đồng thời là một gia vị. thảo quả tường được dùng để thêm vào một số bánh kẹo, đặc biệt loại kẹo chè lam. Trong thuốc, thảo quả chỉ mới thấy dùng trong phạm vi nhân dân.[1]
Trong các sách cổ, người ta cho thảo quả có vị cay, chát, tính ôn và không độc, vào hai kinh Tỳ và Vị, có năng lực táo thấp, khử hàn, trừ đờm, chữa sốt rét, tiêu thực, hoá tích dùng làm thuốc kiện tỳ, giải độc, chữa đau bụng, nôn mửa, hôi mồm.
Theo sách Cây thuốc ở việt nam Ấn phẩm của WHO liên kết với Viện dược liệu Hà nội: Thảo quả có tác dụng như: kháng khuẩn và làm dịu dạ dày, được dùng để giảm chứng khó tiêu, đầy hơi, đau bụng, nôn mửa, tiêu chảy và ho. Hạt của cây này cũng được dùng làm nước súc miệng để điều trị đau răng, viêm nướu và bệnh nha chu.[2]
Theo y học hiện đại, Thảo quả được sử dụng để hỗ trợ điều trị ung thư, viêm nhiễm, bệnh tim mạch, tiểu đường, bệnh đường tiêu hóa, v.v.[3]
Liều dùng hàng ngày: 3 đến 6g dùng riêng hay phối hợp với nhiều vị thuốc khác, sắc hay làm thành thuốc viên.
Công dụng của Thảo quả: khử hàn, trừ đờm chữa ho, đau bụng, nôn, dễ tiêu, sốt rét, kích thích tiêu hóa, giải độc."
